"SEX","GEO","TIME","AGE","UNIT","ISCED11","Value"
"T","EE","2007","Y15-64","PC","ED0-2","20.0"
"T","EE","2007","Y15-64","PC","ED3-8","80.0"
"T","EE","2007","Y15-64","PC","ED3_4","52.5"
"T","EE","2007","Y15-64","PC","ED5-8","27.5"
"T","EE","2008","Y15-64","PC","ED0-2","20.4"
"T","EE","2008","Y15-64","PC","ED3-8","79.6"
"T","EE","2008","Y15-64","PC","ED3_4","51.3"
"T","EE","2008","Y15-64","PC","ED5-8","28.3"
"T","EE","2009","Y15-64","PC","ED0-2","19.2"
"T","EE","2009","Y15-64","PC","ED3-8","80.8"
"T","EE","2009","Y15-64","PC","ED3_4","50.6"
"T","EE","2009","Y15-64","PC","ED5-8","30.2"
"T","EE","2010","Y15-64","PC","ED0-2","18.2"
"T","EE","2010","Y15-64","PC","ED3-8","81.8"
"T","EE","2010","Y15-64","PC","ED3_4","51.8"
"T","EE","2010","Y15-64","PC","ED5-8","30.0"
"T","EE","2011","Y15-64","PC","ED0-2","17.7"
"T","EE","2011","Y15-64","PC","ED3-8","82.3"
"T","EE","2011","Y15-64","PC","ED3_4","51.0"
"T","EE","2011","Y15-64","PC","ED5-8","31.3"
"T","EE","2012","Y15-64","PC","ED0-2","16.8"
"T","EE","2012","Y15-64","PC","ED3-8","83.2"
"T","EE","2012","Y15-64","PC","ED3_4","51.1"
"T","EE","2012","Y15-64","PC","ED5-8","32.1"
"T","EE","2013","Y15-64","PC","ED0-2","15.8"
"T","EE","2013","Y15-64","PC","ED3-8","84.2"
"T","EE","2013","Y15-64","PC","ED3_4","51.9"
"T","EE","2013","Y15-64","PC","ED5-8","32.3"
"T","EE","2014","Y15-64","PC","ED0-2","15.1"
"T","EE","2014","Y15-64","PC","ED3-8","84.9"
"T","EE","2014","Y15-64","PC","ED3_4","52.2"
"T","EE","2014","Y15-64","PC","ED5-8","32.6"
"T","EE","2015","Y15-64","PC","ED0-2","15.1"
"T","EE","2015","Y15-64","PC","ED3-8","84.9"
"T","EE","2015","Y15-64","PC","ED3_4","51.6"
"T","EE","2015","Y15-64","PC","ED5-8","33.3"
"T","IE","2003","Y15-64","PC","ED0-2","38.9"
"T","IE","2003","Y15-64","PC","ED3-8","61.1"
"T","IE","2003","Y15-64","PC","ED3_4","37.6"
"T","IE","2003","Y15-64","PC","ED5-8","23.5"
"T","IE","2004","Y15-64","PC","ED0-2","38.3"
"T","IE","2004","Y15-64","PC","ED3-8","61.7"
"T","IE","2004","Y15-64","PC","ED3_4","36.8"
"T","IE","2004","Y15-64","PC","ED5-8","24.9"
"T","IE","2005","Y15-64","PC","ED0-2","36.5"
"T","IE","2005","Y15-64","PC","ED3-8","63.5"
"T","IE","2005","Y15-64","PC","ED3_4","37.4"
"T","IE","2005","Y15-64","PC","ED5-8","26.1"
"T","IE","2006","Y15-64","PC","ED0-2","35.2"
"T","IE","2006","Y15-64","PC","ED3-8","64.8"
